station_id,label_code,label,n_rows_full,positive_rows_full,fault_rate_full,negative_rows_full,eligible_for_pmldp,sample_rule,n_rows_sample,positive_rows_sample,fault_rate_sample,station_url
711050-99999,TSS,temperature straight string,37623,0,0.0,37623,0,full,37623,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_711050-99999.nc.gz
711050-99999,DSS,dew point straight string,37624,0,0.0,37624,0,full,37624,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_711050-99999.nc.gz
711050-99999,PSS,sea-level pressure straight string,0,0,nan,0,0,full,0,0,nan,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_711050-99999.nc.gz
718950-99999,TSS,temperature straight string,35549,0,0.0,35549,0,full,35549,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_718950-99999.nc.gz
718950-99999,DSS,dew point straight string,35281,0,0.0,35281,0,full,35281,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_718950-99999.nc.gz
718950-99999,PSS,sea-level pressure straight string,0,0,nan,0,0,full,0,0,nan,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_718950-99999.nc.gz
714140-99999,TSS,temperature straight string,35728,0,0.0,35728,0,full,35728,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_714140-99999.nc.gz
714140-99999,DSS,dew point straight string,35602,0,0.0,35602,0,full,35602,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_714140-99999.nc.gz
714140-99999,PSS,sea-level pressure straight string,0,0,nan,0,0,full,0,0,nan,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_714140-99999.nc.gz
718436-99999,TSS,temperature straight string,37912,54,0.001424351128930154,37858,1,full,37912,54,0.001424351128930154,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_718436-99999.nc.gz
